Name: 重庆卫视, URL: http://113.128.226.58:8888/newlive/live/hls/31/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 408ms
Name: 重庆卫视, URL: http://tvbox.netsite.cc/proxy/1555601247/1555601247.m3u8, Date: 05-04-2024, Resolution: None, Response Time: 414ms
Name: 重庆卫视, URL: http://8.134.82.80:32858/ysp0409/haiouysp.php?id=56, Date: 04-13-2024, Resolution: None, Response Time: 493ms
Name: 东方卫视, URL: http://64.140.167.170:8080/live/ydws2/hls.m3u8, Date: 05-15-2024, Resolution: 1920x1080, Response Time: 18ms
Name: 东方卫视, URL: http://61.173.95.181:4022/udp/239.45.3.146:5140, Date: 05-15-2024, Resolution: 1920x1080, Response Time: 421ms
Name: 东方卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/dfwshd8m/8000000/mnf.m3u8, Date: 04-28-2024, Resolution: 1920x1080, Response Time: 516ms
Name: 东方卫视, URL: http://tvbox.netsite.cc/proxy/609485212/609485212.m3u8, Date: 05-14-2024, Resolution: 1280x720, Response Time: 401ms
Name: 东方卫视, URL: http://1.202.10.125:8888/udp/225.1.8.147:8192, Date: 05-10-2024, Resolution: 720x576, Response Time: 415ms
Name: 东方卫视, URL: http://113.128.226.58:8888/newlive/live/hls/22/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 410ms
Name: 东南卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/dnwshd8m/8000000/mnf.m3u8, Date: 04-29-2024, Resolution: 1920x1080, Response Time: 459ms
Name: 东南卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/dnwshd8m/8000000/mnf.m3u8, Date: 04-29-2024, Resolution: 1920x1080, Response Time: 469ms
Name: 东南卫视, URL: http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000, Date: 04-20-2024, Resolution: 1920x1080, Response Time: 477ms
Name: 东南卫视, URL: http://php.jdshipin.com:8880/bst.php?id=dnwshd/4000000, Date: 04-20-2024, Resolution: 1920x1080, Response Time: 492ms
Name: 东南卫视, URL: http://64.140.167.170:8080/live/ydws11/hls.m3u8, Date: 05-13-2024, Resolution: 1280x720, Response Time: 20ms
Name: 东南卫视, URL: http://64.140.167.170:8080/live/ydws11/hls.m3u8, Date: 05-13-2024, Resolution: 1280x720, Response Time: 30ms
Name: 东南卫视, URL: http://tvbox.netsite.cc/proxy/605886267/605886267.m3u8, Date: 05-09-2024, Resolution: 1280x720, Response Time: 402ms
Name: 东南卫视, URL: http://tvbox.netsite.cc/proxy/605886267/605886267.m3u8, Date: 05-09-2024, Resolution: 1280x720, Response Time: 412ms
Name: 东南卫视, URL: http://113.128.226.58:8888/newlive/live/hls/40/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 409ms
Name: 东南卫视, URL: http://113.128.226.58:8888/newlive/live/hls/40/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 409ms
Name: 东南卫视, URL: http://8.134.82.80:32858/ysp0409/haiouysp.php?id=48, Date: 04-13-2024, Resolution: None, Response Time: 482ms
Name: 甘肃卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/gswshd8m/8000000/mnf.m3u8, Date: 04-26-2024, Resolution: 1920x1080, Response Time: 550ms
Name: 甘肃卫视, URL: http://tvbox.netsite.cc/proxy/1209404373/1209404373.m3u8, Date: 05-03-2024, Resolution: 960x540, Response Time: 396ms
Name: 甘肃卫视, URL: http://php.jdshipin.com:8880/bst.php?id=gswshd8m/8000000, Date: 03-09-2024, Resolution: None, Response Time: 380ms
Name: 甘肃卫视, URL: http://113.128.226.58:8888/newlive/live/hls/39/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 409ms
Name: 广西卫视, URL: http://116.11.156.112:1188/tsfile/live/1025_1.m3u8, Date: 05-12-2024, Resolution: 1920x1080, Response Time: 435ms
Name: 广西卫视, URL: http://110.72.25.242:8888/rtp/239.81.0.107:4056, Date: 05-15-2024, Resolution: 1920x1080, Response Time: 447ms
Name: 广西卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/gxwshd8m/8000000/mnf.m3u8, Date: 04-27-2024, Resolution: 1920x1080, Response Time: 469ms
Name: 广西卫视, URL: http://tvbox.netsite.cc/proxy/1407270894/1407270894.m3u8, Date: 05-12-2024, Resolution: 1280x720, Response Time: 430ms
Name: 广西卫视, URL: http://113.128.226.58:8888/newlive/live/hls/44/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: 410ms
Name: 贵州卫视, URL: http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/gzwshd8m/8000000/mnf.m3u8, Date: 04-26-2024, Resolution: 1920x1080, Response Time: 468ms
Name: 贵州卫视, URL: http://tvbox.netsite.cc/proxy/344811278/344811278.m3u8, Date: 05-15-2024, Resolution: 1280x720, Response Time: 407ms
